family,method,method_display,n_timesteps,mean_effect_pct,ci95_low_pct,ci95_high_pct,improved_timestep_fraction
aircraft,full_RAS,R+A+S,24,-36.40493612196976,-39.371086449815415,-33.76379479487266,1.0
aircraft,heldout80,R+0.8A+S,24,-8.057384144521636,-10.5297961389586,-5.4784296453617864,0.9166666666666666
surface,full_RAS,R+A+S,24,-26.24063561474476,-27.157622433685017,-25.35016955720825,1.0
surface,heldout80,R+A+0.8S,24,-13.499203532014073,-14.68288450947619,-12.352852271621689,1.0
