region,configuration,n_analysis_times,all13_mean_rmse_change_pct,surface3_mean_rmse_change_pct,aircraft6_mean_rmse_change_pct
global,R+A,723,0.0062633792965659,-0.0178073291530706,-0.0016975253885354
global_excluding_strict_conus,R+A,723,0.0298327193522794,-0.0026365027866684,0.0343275844028675
strict_conus,R+A,723,-4.463261464413289,-2.2819647412096,-6.743842318523958
global,R+S,723,-0.0535488204009001,-0.1574307225759132,-0.0223914888054695
global_excluding_strict_conus,R+S,723,-0.018746257060041,-0.0524634234955653,-0.0045053123178745
strict_conus,R+S,723,-5.349285679093684,-13.310503838704484,-2.989362726017681
global,R+A+S,723,-0.0353383237067934,-0.1457375722298831,-0.0151595267119129
global_excluding_strict_conus,R+A+S,723,0.0187566297809325,-0.0364393774785407,0.0352322966448454
strict_conus,R+A+S,723,-9.236337587907537,-14.172937231371073,-9.30063254105738
