metric,R+A,R+S,R+A+S,R+A+S_minus_best_single_pp,best_single
all13,-4.463261464413289,-5.349285679093684,-9.236337587907537,-3.887051908813853,R+S
surface-targeted,-2.2819647412096,-13.310503838704484,-14.172937231371073,-0.8624333926665884,R+S
aircraft-targeted,-6.743842318523958,-2.989362726017681,-9.30063254105738,-2.5567902225334223,R+A
