series_id,analysis_scope,protocol,display,region,region_display,variable_set,variable_set_label,variable,var_short,n_evaluation_times,mean_effect_pct,median_effect_pct,fraction_analysis_times_improved,lag1_autocorrelation,lag1_exact_12h_pair_count,ar1_n_eff_raw,ar1_n_eff_capped,block_days,block_cases,calendar_slots,calendar_candidate_start_slots,calendar_edge_handling,baseline_unavailable_calendar_slots,calibration_excluded_calendar_slots,bootstrap_replicates,random_seed,bootstrap_mean_effect_pct,bootstrap_mean_bias_pct,bootstrap_se_pct,ci95_percentile_low_pct,ci95_percentile_high_pct,ci95_percentile_width_pct,ci95_primary_low_pct,ci95_primary_high_pct,ci95_primary_method,probability_effect_lt_zero,block_bootstrap_interpretation
aggregate__strict_conus__all13,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),strict_conus,Within CONUS,all13,All 13 variables,,,723,-9.236337587907537,-9.323363865797337,1.0,-0.002937859593898171,715,727.2606622000977,723.0,14,28,732,732,circular_wrap,9,0,10000,20260726,-9.234408786675342,0.0019288012321947434,0.16572738783148253,-9.566245516813467,-8.917775774739685,0.6484697420737824,-9.566245516813467,-8.917775774739685,raw_percentile,1.0,improvement_supported
aggregate__strict_conus__surface3,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),strict_conus,Within CONUS,surface3,Surface-targeted,,,723,-14.17293723137107,-14.488028526306152,1.0,0.09534444773227503,715,597.1326788059206,597.1326788059206,14,28,732,732,circular_wrap,9,0,10000,20260726,-14.171635063573694,0.0013021677973767964,0.3009290729111001,-14.7593404547481,-13.565690030500548,1.1936504242475525,-14.7593404547481,-13.565690030500548,raw_percentile,1.0,improvement_supported
aggregate__strict_conus__aircraft6,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),strict_conus,Within CONUS,aircraft6,Aircraft-targeted,,,723,-9.300632541057379,-9.321724017461142,1.0,0.08545796110839701,715,609.1566120565753,609.1566120565753,14,28,732,732,circular_wrap,9,0,10000,20260726,-9.29832393555603,0.0023086055013479267,0.262012696774698,-9.82536612853999,-8.799021624290072,1.0263445042499182,-9.82536612853999,-8.799021624290072,raw_percentile,1.0,improvement_supported
aggregate__global__all13,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),global,Global,all13,All 13 variables,,,723,-0.03533832370679344,-0.05559096542688516,0.5919778699861687,0.3473931726170227,715,350.18341029697706,350.18341029697706,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.03529917205671969,3.915165007375293e-05,0.013534014979385427,-0.06178575584009267,-0.008346286909436455,0.05343946893065621,-0.06178575584009267,-0.008346286909436455,raw_percentile,0.9947,improvement_supported
aggregate__global__surface3,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),global,Global,surface3,Surface-targeted,,,723,-0.14573757222988315,-0.1463534732659658,0.719225449515906,0.27134564628266716,715,414.377552853554,414.377552853554,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.14559678891452585,0.00014078331535730126,0.019955617004064365,-0.18473099427041437,-0.10690203138400292,0.07782896288641145,-0.18473099427041437,-0.10690203138400292,raw_percentile,1.0,improvement_supported
aggregate__global__aircraft6,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),global,Global,aircraft6,Aircraft-targeted,,,723,-0.015159526711912966,-0.02209426291907825,0.5366528354080221,0.34856762994994306,715,349.2487829947939,349.2487829947939,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.015089779104198207,6.974760771475894e-05,0.011796262560576469,-0.03795001322623289,0.007988860046204773,0.04593887327243766,-0.03795001322623289,0.007988860046204773,raw_percentile,0.9013,interval_includes_zero
aggregate__global_excluding_strict_conus__all13,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),global_excluding_strict_conus,Outside CONUS,all13,All 13 variables,,,723,0.018756629780932503,0.0004896736488892258,0.49930843706777317,0.354623478736461,715,344.4552912288006,344.4552912288006,14,28,732,732,circular_wrap,9,0,10000,20260726,0.01877764416322311,2.1014382290608646e-05,0.013532847188116355,-0.007793590872289546,0.04577221706659092,0.053565807938880466,-0.007793590872289546,0.04577221706659092,raw_percentile,0.0793,interval_includes_zero
aggregate__global_excluding_strict_conus__surface3,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),global_excluding_strict_conus,Outside CONUS,surface3,Surface-targeted,,,723,-0.03643937747854075,-0.03981079036990803,0.5601659751037344,0.2762629020994584,715,409.9954021395774,409.9954021395774,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.03633477630407653,0.00010460117446422362,0.020205111858399183,-0.07595075196168874,0.002476649092759418,0.07842740105444816,-0.07595075196168874,0.002476649092759418,raw_percentile,0.9643,interval_includes_zero
aggregate__global_excluding_strict_conus__aircraft6,aggregate_set,RplusAplusS_selected_2019,R+A+S (selected with 2019 data),global_excluding_strict_conus,Outside CONUS,aircraft6,Aircraft-targeted,,,723,0.03523229664484547,0.02092561052995734,0.4384508990318119,0.3573425978324757,715,342.3168936929411,342.3168936929411,14,28,732,732,circular_wrap,9,0,10000,20260726,0.035272574642927955,4.0277998082483e-05,0.011391530342476084,0.013177691396534165,0.057923138552884695,0.04474544715635053,0.013177691396534165,0.057923138552884695,raw_percentile,0.0003,worsening_supported
