region,evaluation_group,n_observed_cases,n_calendar_holes,block_length_days,block_length_cases,replicates,seed,mean_crps_pct_change,ci95_low,ci95_high
strict_conus,all_13_variables,723,9,14,28,10000,20260731,-9.976227642228134,-10.395985845304503,-9.565705284850974
strict_conus,surface_targeted_variables,723,9,14,28,10000,20260731,-15.01277461452802,-15.752382346080823,-14.268349955225604
strict_conus,aircraft_targeted_variables,723,9,14,28,10000,20260731,-10.451307220344043,-11.10719834918783,-9.832069445043883
global,all_13_variables,723,9,14,28,10000,20260731,-0.12746512099300042,-0.1574304502960037,-0.09757039259886184
global,surface_targeted_variables,723,9,14,28,10000,20260731,-0.28454207291707934,-0.3224800402855072,-0.24801298267874428
global,aircraft_targeted_variables,723,9,14,28,10000,20260731,-0.11423791619831543,-0.14288122824222552,-0.08681737356979592
outside_conus,all_13_variables,723,9,14,28,10000,20260731,0.0044963274671003745,-0.024296567777153326,0.033366428271294685
outside_conus,surface_targeted_variables,723,9,14,28,10000,20260731,-0.042745211765592594,-0.08355492017528521,-0.00404010964753761
outside_conus,aircraft_targeted_variables,723,9,14,28,10000,20260731,0.02134986703386322,-0.0021798215861617933,0.045371314453185964
